Dataset,Resample_1,Resample_2,Resample_3,Resample_4,Resample_5,Resample_6,Resample_7,Resample_8,Resample_9,Resample_10,Resample_11,Resample_12,Resample_13,Resample_14,Resample_15,Resample_16,Resample_17,Resample_18,Resample_19,Resample_20,Resample_21,Resample_22,Resample_23,Resample_24,Resample_25,Resample_26,Resample_27,Resample_28,Resample_29,Resample_30,MeanAccuracy
WormsTwoClass,0.8051948051948052,0.8571428571428571,0.7792207792207793,0.7532467532467533,0.8181818181818182,0.935064935064935,0.7662337662337663,0.7532467532467533,0.7662337662337663,0.8181818181818182,0.8441558441558441,0.8181818181818182,0.7662337662337663,0.8571428571428571,0.8181818181818182,0.7402597402597403,0.8051948051948052,0.7922077922077922,0.7792207792207793,0.7532467532467533,0.8181818181818182,0.8441558441558441,0.8051948051948052,0.8051948051948052,0.7402597402597403,0.8311688311688312,0.7922077922077922,0.7792207792207793,0.8311688311688312,0.7792207792207793,0.8017316017316019
CricketY,0.8179487179487179,0.8461538461538461,0.8205128205128205,0.8076923076923077,0.8461538461538461,0.8461538461538461,0.8564102564102564,0.8692307692307693,0.8,0.8384615384615385,0.8358974358974359,0.8358974358974359,0.823076923076923,0.8512820512820513,0.8256410256410256,0.882051282051282,0.782051282051282,0.8333333333333334,0.8487179487179487,0.8179487179487179,0.8128205128205128,0.8641025641025641,0.8589743589743589,0.8384615384615385,0.8358974358974359,0.841025641025641,0.8538461538461538,0.8641025641025641,0.8692307692307693,0.841025641025641,0.8388034188034188
Strawberry,0.981081081081081,0.9675675675675676,0.9783783783783784,0.9837837837837838,0.9756756756756756,0.981081081081081,0.9837837837837838,0.991891891891892,0.9891891891891892,0.9783783783783784,0.9648648648648648,0.9783783783783784,0.9864864864864864,0.972972972972973,0.981081081081081,0.981081081081081,0.981081081081081,0.9837837837837838,0.9783783783783784,0.9756756756756756,0.972972972972973,0.9864864864864864,0.9756756756756756,0.972972972972973,0.972972972972973,0.9783783783783784,0.9837837837837838,0.9783783783783784,0.9783783783783784,0.9837837837837838,0.9792792792792792
CricketX,0.8435897435897436,0.841025641025641,0.8307692307692308,0.8025641025641026,0.841025641025641,0.8692307692307693,0.8487179487179487,0.8666666666666667,0.8256410256410256,0.8538461538461538,0.8358974358974359,0.8589743589743589,0.8256410256410256,0.8461538461538461,0.8307692307692308,0.8435897435897436,0.8615384615384616,0.8461538461538461,0.8282051282051283,0.8358974358974359,0.8358974358974359,0.8358974358974359,0.8615384615384616,0.8538461538461538,0.8076923076923077,0.8307692307692308,0.8512820512820513,0.8538461538461538,0.8153846153846154,0.8153846153846154,0.83991452991453
CricketZ,0.8564102564102564,0.8205128205128205,0.8641025641025641,0.841025641025641,0.841025641025641,0.8282051282051283,0.8333333333333334,0.8461538461538461,0.8487179487179487,0.8256410256410256,0.8692307692307693,0.8256410256410256,0.8256410256410256,0.8435897435897436,0.8282051282051283,0.8333333333333334,0.8384615384615385,0.8615384615384616,0.8256410256410256,0.8538461538461538,0.8487179487179487,0.8358974358974359,0.8205128205128205,0.8435897435897436,0.8358974358974359,0.8358974358974359,0.8564102564102564,0.8358974358974359,0.8025641025641026,0.8384615384615385,0.8388034188034188
WordSynonyms,0.7727272727272727,0.7664576802507836,0.7789968652037618,0.7507836990595611,0.7398119122257053,0.780564263322884,0.774294670846395,0.7931034482758621,0.7539184952978056,0.7476489028213166,0.7539184952978056,0.780564263322884,0.7335423197492164,0.7852664576802508,0.7539184952978056,0.7586206896551724,0.774294670846395,0.8087774294670846,0.7539184952978056,0.7586206896551724,0.7852664576802508,0.7601880877742947,0.7978056426332288,0.7492163009404389,0.780564263322884,0.7335423197492164,0.731974921630094,0.786833855799373,0.7978056426332288,0.7836990595611285,0.7675548589341693
Earthquakes,0.7913669064748201,0.7841726618705036,0.7769784172661871,0.7697841726618705,0.7913669064748201,0.7553956834532374,0.7553956834532374,0.8273381294964028,0.7482014388489209,0.7482014388489209,0.8129496402877698,0.8129496402877698,0.7841726618705036,0.7769784172661871,0.8057553956834532,0.762589928057554,0.7697841726618705,0.8057553956834532,0.7841726618705036,0.7338129496402878,0.7410071942446043,0.7913669064748201,0.7553956834532374,0.7410071942446043,0.8201438848920863,0.697841726618705,0.7410071942446043,0.8057553956834532,0.762589928057554,0.8057553956834532,0.7752997601918464
FiftyWords,0.8,0.8087912087912088,0.8175824175824176,0.8351648351648352,0.8263736263736263,0.8087912087912088,0.7824175824175824,0.8021978021978022,0.7714285714285715,0.8395604395604396,0.8175824175824176,0.8351648351648352,0.8219780219780219,0.810989010989011,0.8,0.8021978021978022,0.7912087912087912,0.8263736263736263,0.8417582417582418,0.8043956043956044,0.8527472527472527,0.8307692307692308,0.8285714285714286,0.8395604395604396,0.8065934065934066,0.8527472527472527,0.8373626373626374,0.8395604395604396,0.8285714285714286,0.8219780219780219,0.8194139194139196
ACSF1,0.81,0.81,0.83,0.72,0.83,0.77,0.84,0.81,0.85,0.85,0.87,0.81,0.82,0.85,0.85,0.84,0.82,0.81,0.83,0.84,0.84,0.93,0.79,0.82,0.85,0.78,0.76,0.79,0.84,0.78,0.8213333333333335
FaceAll,0.9875739644970414,0.9881656804733728,0.9911242603550297,0.9923076923076924,0.9863905325443788,0.9863905325443788,0.9840236686390532,0.9863905325443788,0.9887573964497042,0.9923076923076924,0.985207100591716,0.9881656804733728,0.9923076923076924,0.9905325443786982,0.9887573964497042,0.9881656804733728,0.9893491124260356,0.991715976331361,0.9911242603550297,0.985207100591716,0.9881656804733728,0.9893491124260356,0.9840236686390532,0.9875739644970414,0.9893491124260356,0.9893491124260356,0.9863905325443788,0.9863905325443788,0.9911242603550297,0.98698224852071,0.9884220907297832
FacesUCR,0.9707317073170731,0.962439024390244,0.9653658536585366,0.948780487804878,0.9707317073170731,0.9765853658536584,0.9648780487804878,0.9707317073170731,0.9385365853658536,0.964390243902439,0.973170731707317,0.9678048780487803,0.9682926829268292,0.9697560975609756,0.9707317073170731,0.962439024390244,0.973170731707317,0.9760975609756096,0.9653658536585366,0.9765853658536584,0.9834146341463414,0.962439024390244,0.9497560975609756,0.9668292682926828,0.9546341463414634,0.973170731707317,0.9673170731707316,0.9760975609756096,0.9751219512195122,0.9629268292682926,0.9669430894308942
Computers,0.86,0.828,0.844,0.816,0.86,0.88,0.892,0.832,0.888,0.832,0.896,0.856,0.8,0.86,0.856,0.852,0.808,0.844,0.856,0.824,0.856,0.872,0.784,0.832,0.864,0.896,0.884,0.844,0.812,0.892,0.8506666666666669
Symbols,0.9396984924623116,0.8834170854271357,0.9728643216080402,0.9346733668341708,0.8733668341708543,0.9758793969849248,0.7457286432160805,0.9728643216080402,0.9487437185929648,0.971859296482412,0.8914572864321608,0.9195979899497488,0.9829145728643216,0.8984924623115578,0.9628140703517588,0.9678391959798996,0.893467336683417,0.9035175879396984,0.9045226130653268,0.8150753768844221,0.8522613065326633,0.9658291457286432,0.9195979899497488,0.9628140703517588,0.9045226130653268,0.8582914572864322,0.9316582914572864,0.8502512562814071,0.8824120603015075,0.9005025125628141,0.9128978224455612
Haptics,0.5584415584415584,0.5422077922077922,0.5974025974025974,0.4772727272727273,0.525974025974026,0.5941558441558441,0.5616883116883117,0.5324675324675324,0.5616883116883117,0.5162337662337663,0.5097402597402597,0.5292207792207793,0.4967532467532468,0.5194805194805194,0.4512987012987013,0.512987012987013,0.5032467532467533,0.4967532467532468,0.5162337662337663,0.5844155844155844,0.5064935064935064,0.538961038961039,0.5032467532467533,0.5422077922077922,0.564935064935065,0.5162337662337663,0.564935064935065,0.5454545454545454,0.5,0.5584415584415584,0.530952380952381
PigAirwayPressure,0.5144230769230769,0.5673076923076923,0.5480769230769231,0.5,0.6009615384615384,0.5625,0.4567307692307692,0.4663461538461538,0.5240384615384616,0.5384615384615384,0.5432692307692307,0.5769230769230769,0.4855769230769231,0.4423076923076923,0.5144230769230769,0.5384615384615384,0.5144230769230769,0.5096153846153846,0.5625,0.5144230769230769,0.5528846153846154,0.5480769230769231,0.5432692307692307,0.5144230769230769,0.5673076923076923,0.5432692307692307,0.5288461538461539,0.4182692307692308,0.4471153846153846,0.5,0.5214743589743589
PigCVP,0.6201923076923077,0.6153846153846154,0.6634615384615384,0.6875,0.6778846153846154,0.6778846153846154,0.6730769230769231,0.5576923076923077,0.6394230769230769,0.6730769230769231,0.7355769230769231,0.7163461538461539,0.6682692307692307,0.6490384615384616,0.6586538461538461,0.6634615384615384,0.7163461538461539,0.6634615384615384,0.6298076923076923,0.6586538461538461,0.6634615384615384,0.6298076923076923,0.6730769230769231,0.625,0.6730769230769231,0.7067307692307693,0.7211538461538461,0.6346153846153846,0.6442307692307693,0.6105769230769231,0.660897435897436
RefrigerationDevices,0.76,0.7413333333333333,0.7173333333333334,0.8,0.768,0.728,0.768,0.7333333333333333,0.7493333333333333,0.7386666666666667,0.7786666666666666,0.776,0.7466666666666667,0.7253333333333334,0.7706666666666667,0.76,0.712,0.7386666666666667,0.7706666666666667,0.7386666666666667,0.7653333333333333,0.7706666666666667,0.7093333333333334,0.7786666666666666,0.7466666666666667,0.7413333333333333,0.72,0.744,0.7466666666666667,0.728,0.7490666666666665
PigArtPressure,0.6875,0.6490384615384616,0.6875,0.75,0.8365384615384616,0.7596153846153846,0.7307692307692307,0.6682692307692307,0.75,0.7211538461538461,0.8509615384615384,0.8173076923076923,0.7355769230769231,0.7115384615384616,0.6971153846153846,0.7596153846153846,0.7451923076923077,0.7692307692307693,0.7019230769230769,0.6634615384615384,0.75,0.7740384615384616,0.7307692307692307,0.7403846153846154,0.7740384615384616,0.7788461538461539,0.75,0.6586538461538461,0.6923076923076923,0.7307692307692307,0.7357371794871794
ScreenType,0.6773333333333333,0.7253333333333334,0.688,0.7013333333333334,0.688,0.7066666666666667,0.6666666666666666,0.68,0.6693333333333333,0.688,0.6426666666666667,0.6586666666666666,0.664,0.6693333333333333,0.656,0.6853333333333333,0.6453333333333333,0.704,0.6426666666666667,0.672,0.6693333333333333,0.6773333333333333,0.672,0.7093333333333334,0.6773333333333333,0.656,0.64,0.6746666666666666,0.6613333333333333,0.6186666666666667,0.672888888888889
